index,ra,dec,mag
0,6.752481,-16.716116,-1.44
1,6.399195,-52.69566,-0.62
2,14.26103,19.18241,-0.05
3,14.660765,-60.833976,-0.01
4,18.61564,38.783692,0.03
5,5.27815,45.997991,0.08
6,5.242298,-8.20164,0.18
7,7.655033,5.224993,0.4
8,1.628556,-57.236757,0.45
9,5.919529,7.407063,0.45
10,14.063729,-60.373039,0.61
11,19.846388,8.868322,0.76
12,12.443311,-63.099092,0.77
13,4.598677,16.509301,0.87
14,5.277926,46.000842,0.96
15,13.419883,-11.161322,0.98
16,16.490128,-26.432002,1.06
17,7.755277,28.026199,1.16
18,22.960838,-29.622236,1.17
19,12.795359,-59.688764,1.25
20,20.690532,45.280338,1.25
21,14.660346,-60.8383,1.35
22,10.139532,11.967207,1.36
23,6.977097,-28.972084,1.5
24,7.576634,31.888276,1.58
25,12.519429,-57.113212,1.59
26,17.560145,-37.103821,1.62
27,5.418851,6.349702,1.64
28,5.438198,28.60745,1.65
29,9.220041,-69.717208,1.67
30,5.603559,-1.20192,1.69
31,22.137209,-46.960975,1.73
32,5.679313,-1.942572,1.74
33,8.158876,-47.336588,1.75
34,12.900472,55.959821,1.76
35,3.405378,49.86118,1.79
36,18.402868,-34.384616,1.79
37,11.062155,61.751033,1.81
38,7.139857,-26.3932,1.83
39,13.792354,49.313265,1.85
40,8.375236,-59.509483,1.86
41,17.62198,-42.997824,1.86
42,5.992149,44.947433,1.9
43,16.811077,-69.027715,1.91
44,6.628528,16.399252,1.93
45,8.745059,-54.708821,1.93
46,20.427459,-56.73509,1.94
47,2.52975,89.264109,1.97
48,6.378329,-17.955918,1.98
49,9.45979,-8.658603,1.99
50,2.119555,23.462423,2.01
51,10.332873,19.841489,2.01
52,0.72649,-17.986605,2.04
53,18.92109,-26.296722,2.05
54,14.111395,-36.369954,2.06
55,0.139791,29.090432,2.07
56,1.162194,35.620558,2.07
57,5.795941,-9.669605,2.07
58,14.845105,74.155505,2.07
59,22.711115,-46.884577,2.07
60,17.582241,12.560035,2.08
61,3.136148,40.955648,2.09
62,2.064984,42.329725,2.1
63,11.817663,14.57206,2.14
64,0.945143,60.71674,2.15
65,12.691971,-48.959888,2.2
66,8.059737,-40.003148,2.21
67,9.284838,-59.275229,2.21
68,15.578128,26.714693,2.22
69,9.133268,-43.432589,2.23
70,13.398747,54.925362,2.23
71,20.370473,40.256679,2.23
72,0.675116,56.537331,2.24
73,17.943437,51.488895,2.24
74,5.533445,-0.299092,2.25
75,0.152887,59.14978,2.28
76,13.664796,-53.466394,2.29
77,16.005557,-22.62171,2.29
78,16.83608,-34.293232,2.29
79,14.698823,-47.3882,2.3
80,14.591786,-42.157824,2.33
81,11.030677,56.382427,2.34
82,14.749784,27.074222,2.35
83,21.736433,9.875011,2.38
84,17.708132,-39.029983,2.39
85,0.438056,-42.305981,2.4
86,11.897168,53.69476,2.41
87,17.172968,-15.72491,2.43
88,23.062901,28.082789,2.44
89,7.401584,-29.303104,2.45
90,21.30963,62.585573,2.45
91,9.368562,-55.010668,2.47
92,20.770178,33.970256,2.48
93,23.079348,15.205264,2.49
